IMDB ID,Total Revenue
tt0084898,0
tt0063715,0
tt0109191,0
tt0114122,0
tt0117951,"$16,593,356"
tt0118523,"$3,525,125"
tt0116629,"$817,400,891"
tt0117737,"$4,762,310"
tt0116277,"$18,626,419"
tt0116583,"$325,338,851"
tt0115798,"$102,825,796"
tt0116778,"$25,023,434"
tt0116213,"$242,295,562"
tt0113147,0
tt0117218,"$273,961,019"
tt0100990,0
tt0111546,0
tt0093199,0
tt0106810,0
tt0111180,"$22,480"
tt0111237,"$18,112"
tt0072362,0
tt0103207,0
tt0116040,"$159,212,469"
tt0116365,"$29,359,216"
tt0116905,"$12,408,986"
tt0116493,"$26,570,048"
tt0117333,"$152,036,382"
tt0118113,"$1,287,480"
tt0117628,"$9,538,948"
tt0117913,"$152,266,007"
tt0115530,"$665,450"
tt0114266,0
tt0115493,"$11,829,959"
tt0116320,"$17,193,231"
tt0116756,"$18,937,262"
tt0109356,0
tt0116823,"$8,315,693"
tt0112568,0
tt0114170,0
tt0117999,0
tt0118073,"$21,440,752"
tt0108220,0
tt0049521,$384
tt0104403,0
tt0061495,0
tt0110246,0
tt0116164,0
tt0112865,0
tt0112716,0
tt0115472,"$15,094,530"
tt0116707,"$4,619,014"
tt0116313,"$181,489,203"
tt0114550,"$692,400"
tt0117438,"$309,492,681"
tt0116531,"$21,302,121"
tt0117332,"$1,383,553"
tt0116353,"$269,300"
tt0115857,"$60,209,334"
tt0117008,"$33,459,416"
tt0116191,"$22,231,658"
tt0115986,"$17,917,287"
tt0116571,"$7,032,782"
tt0053459,"$60,254"
tt0117826,"$5,781,045"
tt0113695,0
tt0108227,0
tt0111424,0
tt0113080,"$263,192"
tt0115680,0
tt0117718,"$12,658,486"
tt0116225,"$25,477,365"
tt0112767,"$284,692"
tt0115632,"$3,011,195"
tt0117918,"$53,854,588"
tt0104109,0
tt0051980,0
tt0100840,0
tt0107575,0
tt0042054,0
tt0068646,"$246,120,986"
tt0109255,"$468,930"
tt0104558,"$16,270,600"
tt0116985,"$502,313"
tt0046468,0
tt0114474,"$155,239"
tt0115736,"$3,802,260"
tt0115836,"$3,325,651"
tt0101692,0
tt0116745,"$1,356,828"
tt0119214,"$19,745,922"
tt0116934,0
tt0109066,0
tt0075169,0
tt0113542,"$82,029"
tt0110693,0
tt0106544,0
tt0116418,"$503,667"
tt0112607,0
tt0120004,"$33,956,608"
tt0116654,"$49,627,779"
tt0116311,"$26,491,793"
tt0117965,"$3,622,979"
tt0114592,"$102,350"
tt0115725,"$4,357,406"
tt0115783,"$22,611,954"
tt0120271,"$18,281"
tt0113596,0
tt0109001,0
tt0094822,0
tt0113253,"$15,116,634"
tt0117991,"$588,621"
tt0117093,"$403,701"
tt0024252,$852
tt1684935,0
tt0111019,"$807,775"
tt0035896,0
tt0032904,"$411,442"
tt0045152,"$1,864,182"
tt0043278,"$272,619"
tt0050419,0
tt0054698,"$357,750"
tt0052357,"$7,796,389"
tt0047396,"$37,032,034"
tt0025316,0
tt0036855,0
tt0025164,"$6,253"
tt0053125,"$73,446"
tt0053604,"$178,003"
tt0053291,"$194,887"
tt0056923,"$173,057"
tt0034583,"$4,375,071"
tt0033870,"$1,255"
tt0058385,"$72,632,653"
tt0047437,0
tt0046250,0
tt0031580,0
tt0037059,"$485,932"
tt0032138,"$26,142,032"
tt0031381,"$402,352,579"
tt0084370,"$20,123,620"
tt0043014,"$299,645"
tt0033467,"$1,594,107"
tt0062622,"$65,436,747"
tt0039428,0
tt0042192,"$150,438"
tt0032143,"$16,161"
tt0032976,"$72,275"
tt0032484,0
tt0038787,"$113,061"
tt0038109,"$19,000"
tt0050105,"$3,851,287"
tt0048728,0
tt0042451,0
tt0045537,"$14,537"
tt0031725,0
tt0050658,0
tt0051658,0
tt0052126,"$3,030"
tt0029843,0
tt0032762,"$3,424"
tt0037008,0
tt0039420,"$29,545"
tt0029162,0
tt0027125,0
tt0035446,0
tt0028010,0
tt0049261,"$32,855,818"
tt0048028,"$24,079"
tt0025878,0
tt0032599,0
tt0048960,"$42,000,000"
tt0038650,"$6,130,720"
tt0031679,"$144,738"
tt0029947,"$11,180"
tt0034012,0
tt0017350,0
tt0036094,0
tt0025586,0
tt0038300,0
tt0027893,0
tt0032022,0
tt0041509,0
tt0039152,0
tt0026029,"$51,711"
tt0038235,0
tt0036241,0
tt0063350,"$236,452"
tt0043265,"$51,357"
tt0046414,0
tt0051459,0
tt0047162,0
tt0033891,0
tt0029855,0
tt0029588,0
tt0022879,0
tt0027980,0
tt0114007,"$40,374"
tt0093229,0
tt0118927,"$5,406,742"
tt0048491,0
tt0113730,0
tt0117357,0
tt0117669,"$20,819"
tt0116329,"$25,143,818"
tt0118742,"$294,064"
tt0116442,"$660,313"
tt0114354,"$97,848"
tt0117011,"$14,502,483"
tt0117039,"$11,135,803"
tt0117473,"$8,543,587"
tt0116635,"$195,170"
tt0115678,"$12,008,376"
tt0116830,"$47,267,001"
tt0115847,0
tt0117603,"$41,590,886"
tt0115438,"$11,132,210"
tt0115994,"$49,620"
tt0083587,0
tt0116167,"$106,791"
tt0116259,"$17,380,126"
tt0116421,"$20,351,264"
tt0116000,"$22,955,097"
tt0115862,"$22,540,359"
tt0072653,"$36,853,000"
tt0047977,0
tt0072951,"$20,000,000"
tt0064603,"$51,264,000"
tt0071607,"$38,229,000"
tt0050798,0
tt0055277,0
tt0054195,0
tt0107131,"$41,833,324"
tt0053271,0
tt0054357,"$40,356,000"
tt0059793,0
tt0046672,0
tt0106611,"$154,856,263"
tt0109127,"$50,236,831"
tt0042332,"$95,126,722"
tt0063819,0
tt0038166,0
tt0057546,"$12,000,000"
tt0041890,0
tt0102798,"$390,493,908"
tt0058331,"$103,082,283"
tt0033563,"$3,731"
tt0076538,"$39,588,000"
tt0066817,0
tt0043274,0
tt0082406,"$63,456,988"
tt0116361,"$295,493"
tt0059742,"$159,423,073"
tt0095016,"$141,482,299"
tt0104692,"$32,100,816"
tt0118044,"$272,542"
tt0114597,0
tt0117582,"$106,606"
tt0117589,"$13,417,292"
tt0117887,"$34,585,416"
tt0117924,"$4,189,233"
tt0117791,"$2,021,348"
tt0116928,"$61,875"
tt0115640,"$1,548,120"
tt0116908,"$89,456,761"
tt0116409,"$38,619,405"
tt0116913,"$1,408,575"
tt0117958,"$749,741"
tt0117400,0
tt0117202,"$22,891"
tt0116404,"$5,754,249"
tt0120107,"$2,312,463"
tt0116722,"$409,144"
tt0116242,"$9,759,200"
tt0115600,"$450,060"
tt0117509,"$151,842,608"
tt0117802,"$4,555,020"
tt0117665,"$165,615,285"
tt0117781,"$21,508"
tt0116714,"$50,789"
tt0115491,0
tt0043140,0
tt0029546,"$6,662"
tt0028757,0
tt0039286,0
tt0037101,0
tt0044863,"$3,530"
tt0109823,"$121,548"
tt0067992,"$527,081"
tt0111622,0
tt0055018,"$30,103"
tt0070707,"$18,344,729"
tt0066808,"$136,200"
tt0095159,"$62,493,712"
tt0079470,"$20,739,243"
tt0084865,"$28,229,046"
tt0068334,0
tt0059243,0
tt0061418,0
tt0052027,"$67,740"
tt0046912,"$18,816"
